Column1	Column2
0	6/25/2018 12:49:04 PM
100	6/25/2018 12:49:28 PM
200	6/25/2018 12:49:35 PM
300	6/25/2018 12:49:54 PM
500	6/26/2018 8:29:12 AM
600	6/25/2018 12:49:04 PM
546	6/25/2018 12:49:28 PM
300	6/25/2018 12:49:35 PM
456	6/25/2018 12:49:54 PM
1200	6/26/2018 8:29:12 AM
1600	6/25/2018 12:49:04 PM
2000	6/25/2018 12:49:28 PM
800	6/25/2018 12:49:35 PM
1500	6/25/2018 12:49:54 PM
1900	6/26/2018 8:29:12 AM
2400	6/25/2018 12:49:04 PM
2500	6/25/2018 12:49:28 PM
2600	6/25/2018 12:49:35 PM
2700	6/25/2018 12:49:54 PM
3000	6/26/2018 8:29:12 AM
